name,version,batch,status,tasks_finished,dur_mins,started,progressed,complete,assignmentId,hitId,trials,return,profile,workerId,pid
fast-tetra,4,a,finished,3,13,2021-10-13 19:10:11.402,2021-10-13 19:24:09.141,0,prolific_6165a5744ac311682252f608,61672992feef5d5c4b1a48ad,0,https://cri-datacap.org/surveys/?s=HgjYRWXe7a,2,60fd80043ee77f5be40c95a8,13334
causal-akita,4,a,finished,3,13,2021-10-13 19:10:59.630,2021-10-13 19:22:26.271,0,prolific_6165a5744ac311682252f608,61672d7b6ae623e7772338bf,0,https://cri-datacap.org/surveys/?s=4HaTTQDVPs,2,6111ab26be83920fe3023da9,13334
precise-kite,4,a,finished,3,13,2021-10-13 19:14:42.008,2021-10-13 19:25:28.790,1,prolific_6165a5744ac311682252f608,616729d1553086afa8b7af6d,0,https://cri-datacap.org/surveys/?s=XZ7bJ9Nooc,0,61647cde20fcb4653d287158,13334
noted-flounder,4,a,finished,3,13,2021-10-13 19:23:15.605,2021-10-13 19:34:20.264,1,prolific_6165a5744ac311682252f608,61672bf8b1df6cad70e85a11,0,https://cri-datacap.org/surveys/?s=IhTY4rri3H,0,5acd57771667e40001d8cae6,13334
right-stud,4,a,finished,3,13,2021-10-13 19:24:56.669,2021-10-13 19:36:37.685,0,prolific_6165a5744ac311682252f608,6167305e20dceed6232eb11d,0,https://cri-datacap.org/surveys/?s=oQ9Uep2TbZ,2,610897dc497d9f84c7a8d12b,13334
diverse-snapper,4,a,finished,3,13,2021-10-13 19:30:45.724,2021-10-13 19:42:37.769,0,prolific_6165a5744ac311682252f608,6167316359fd9244142f386a,0,https://cri-datacap.org/surveys/?s=wTIxmwZ3W3,2,610891856bfaa68af2980719,13334
steady-gopher,4,a,finished,3,13,2021-10-13 19:30:45.873,2021-10-13 19:41:53.524,1,prolific_6165a5744ac311682252f608,61672d1ae4c98d82188f92d1,0,https://cri-datacap.org/surveys/?s=QZimdWpQe2,0,615dd374dde51d88fe827fee,13334
amazing-wahoo,4,a,finished,3,13,2021-10-13 19:34:28.454,2021-10-13 19:50:00.728,1,prolific_6165a5744ac311682252f608,61671dad69396e335b9a9b89,0,https://cri-datacap.org/surveys/?s=TUqDxjmr5r,0,6155bb4f5250fc58f16eca99,13334
poetic-coral,4,a,finished,3,13,2021-10-13 19:37:00.125,2021-10-13 19:48:37.546,0,prolific_6165a5744ac311682252f608,61673313f09f3cbd1ea39c1c,0,https://cri-datacap.org/surveys/?s=dFxfiVLjUQ,2,615f308f53b6cf616529f505,13334
quality-eagle,4,a,finished,3,13,2021-10-13 19:39:06.032,2021-10-13 19:50:23.433,0,prolific_6165a5744ac311682252f608,616733c7a7619c31ad766dd3,0,https://cri-datacap.org/surveys/?s=WbkUAYE9iu,2,61481042c3f4bbe5169303e8,13334
