name,version,batch,status,tasks_finished,dur_mins,started,progressed,pid,hitId,trials,workerId,complete,assignmentId,profile,return
hopeful-parakeet,1,a,finished,3,13,2021-08-20 15:53:11.542,2021-08-20 16:03:59.303,13334,______,0,test01234_FquyN,0,prolific_______,2,https://cri-datacap.org/surveys/?s=r5FyuQu4Uj
optimal-platypus,1,b,finished,3,10,2021-08-20 17:48:29.395,2021-08-20 17:56:28.224,13334,______,0,test01234_FmtWD,0,prolific_______,2,https://cri-datacap.org/surveys/?s=r5FyuQu4Uj
curious-spider,1,c,finished,3,7,2021-08-20 20:31:57.396,2021-08-20 20:36:37.367,13334,______,0,test01234_mBkvY,0,prolific_______,2,https://cri-datacap.org/surveys/?s=r5FyuQu4Uj
patient-moray,1,c,finished,3,8,2021-08-20 21:41:44.234,2021-08-20 21:47:15.438,13334,______,0,test01234_FJJrK,0,prolific_______,2,https://cri-datacap.org/surveys/?s=r5FyuQu4Uj
rapid-manatee,1,d,finished,3,7,2021-08-23 14:48:53.023,2021-08-23 14:53:48.970,13334,______,0,test01234_EkyzT_q0LP1,1,prolific_______,0,https://cri-datacap.org/surveys/?s=r5FyuQu4Uj
wealthy-primate,1,e,finished,3,13,2021-08-24 20:42:24.443,2021-08-24 20:53:10.622,13334,______,0,______,1,prolific_______,0,https://cri-datacap.org/surveys/?s=hICbUJxT6x
fun-mastiff,1,e,finished,3,9,2021-08-24 22:04:02.761,2021-08-24 22:11:06.946,13334,______,0,jd_test_03,1,prolific_______,0,https://cri-datacap.org/surveys/?s=HjBnK35x6i
pleased-hermit,1,e,finished,3,12,2021-08-24 22:37:59.967,2021-08-24 22:48:11.165,13334,______,0,jd_test_04,1,prolific_______,0,https://cri-datacap.org/surveys/?s=ANyDCVxbqU
flowing-moccasin,1,e,finished,3,13,2021-08-25 13:17:58.325,2021-08-25 13:29:49.817,13334,______,0,test_gr_01,0,prolific_______,2,https://cri-datacap.org/surveys/?s=VCv2b6hoLG
better-stud,1,e,timedout,1,3,2021-08-24 21:33:25.137,2021-08-24 21:34:56.375,13334,______,0,______,1,prolific_______,0,______
assuring-whippet,1,f,finished,3,13,2021-08-25 16:34:11.023,2021-08-25 16:45:19.082,13334,______,0,20789,1,prolific_______,0,https://cri-datacap.org/surveys/?s=cuIWHka58Q
neat-weevil,1,f,finished,3,13,2021-08-25 17:15:20.777,2021-08-25 17:27:44.549,13334,______,0,Wadsworth ,0,prolific_______,2,https://cri-datacap.org/surveys/?s=KKkShTSIWQ
