session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Nationality,Sex,Student Status
606d0d5dd2180127456e9751,5ed494f67d597433ade49e45,AWAITING REVIEW,2021-04-07 01:39:43.222000,2021-04-07 02:25:09.681000,2726.459,24,265,0,100,,4A526F60,United States,United States,Part-Time,English,United States,Male,Yes
606d0e054e98f3110b298882,5d96eeed1998fb00177f6b71,RETURNED,2021-04-07 01:53:00.067000,,140198.648191,23,931,5,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
606d106e49af40d6d1d25244,5f117a19d614293b07fdb9cf,AWAITING REVIEW,2021-04-07 01:52:48.685000,2021-04-07 02:59:47.382000,4018.697,18,158,0,100,,4A526F60,United States,United States,Other,English,United States,Male,Yes
606d111b66962ee4ce4472d4,5ebca40606c6fe000da5f510,AWAITING REVIEW,2021-04-07 01:55:44.488000,2021-04-07 02:50:43.420000,3298.932,22,537,3,100,,4A526F60,United States,United States,Part-Time,English,United States,Male,Yes
606d1205daac65d2d78c54d9,5a94579a89de8200013ec36e,AWAITING REVIEW,2021-04-07 01:59:37.314000,2021-04-07 03:00:51.475000,3674.161,22,706,1,100,,4A526F60,United States,United States,Unemployed (and job seeking),English,United States,Female,Yes
606d1373e9ca8d1605a49bde,6050e3a1d25f7483a5a04eba,AWAITING REVIEW,2021-04-07 02:05:42.870000,2021-04-07 02:50:29.686000,2686.816,24,15,0,100,,4A526F60,United States,United States,Unemployed (and job seeking),,United States,Female,Yes
606d13dd9925df3d306002e9,5e633e2561c4390cca501a3f,AWAITING REVIEW,2021-04-07 02:07:44.791000,2021-04-07 03:13:57.659000,3972.868,22,144,2,98,,4A526F60,United States,United States,Part-Time,DATA EXPIRED,United States,Male,No
606d1403fba51792111110c7,60218e476e5dd51a640a61bc,AWAITING REVIEW,2021-04-07 02:08:05.624000,2021-04-07 03:12:11.974000,3846.35,19,69,0,100,,NOCODE,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",,United States,Female,Yes
606d14181cbdad2d6b78511d,60654ed5fed31eb8e64b2a3c,RETURNED,2021-04-07 02:08:31.950000,,139266.846446,22,14,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
606d1425eb466effdddfa28b,5ef79ef9ff94730c1563c045,RETURNED,2021-04-07 02:08:40.179000,,139258.617559,20,101,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
606d14b282b7ae3b2dda0af1,5ed9bd075540a656621f4401,AWAITING REVIEW,2021-04-07 02:11:01.512000,2021-04-07 03:12:26.082000,3684.57,23,541,3,99,,NOCODE,United States,United States,Part-Time,English,United States,Female,No
606d160ebf9fb31ac0c7ad5c,600a3e38548d451a23b7699d,AWAITING REVIEW,2021-04-07 02:16:49.365000,2021-04-07 02:45:04.804000,1695.439,18,165,1,100,,4A526F60,United States,United States,Unemployed (and job seeking),DATA EXPIRED,United States,Female,No
606d1647effa751a5ae7c3d0,602e030cc083e38fcb6b2b65,RETURNED,2021-04-07 02:17:49.067000,,138709.755926,21,71,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
606d16737eb8f0ad15a84ee4,5ed856ab1f4a23368be98b1a,AWAITING REVIEW,2021-04-07 02:18:36.033000,2021-04-07 03:08:00.681000,2964.648,20,474,0,100,,4A526F60,United States,United States,Part-Time,English,United States,Female,Yes
606d171d0a976b4e95b043d1,5c80321274a33f0001e9087f,AWAITING REVIEW,2021-04-07 02:23:17.890000,2021-04-07 04:02:40.433000,5962.543,20,761,1,100,,4A526F60,United States,Mexico,Due to start a new job within the next month,English,United States,Female,Yes
606d1778110bc0a8344cc975,5ee517175fd9cf23b3b7b7ec,RETURNED,2021-04-07 02:32:48.274000,,137810.579349,25,852,6,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
606d1826a2fbccad676d15da,603b2f67a0efdd74faf90ec5,AWAITING REVIEW,2021-04-07 02:25:47.828000,2021-04-07 03:15:41.893000,2994.065,25,135,0,100,,4A526F60,United States,United States,Unemployed (and job seeking),DATA EXPIRED,United States,Female,Yes
606d186029132dfd8481ef3a,5ee0c244c68c754255de45dc,AWAITING REVIEW,2021-04-07 02:26:40.878000,2021-04-07 03:21:17.848000,3276.97,20,471,0,100,,4A526F60,United States,Poland,Full-Time,Polish,United States,Male,No
606d18771ce7bf09d0c75e31,5f7e6f9c1212c514f9437e3a,AWAITING REVIEW,2021-04-07 02:27:07.322000,2021-04-07 03:46:32.616000,4765.294,18,387,1,100,,4A526F60,United States,United States,Unemployed (and job seeking),DATA EXPIRED,United States,Male,No
606d18c199d6effb7bf3f2e3,5d4a3ff17df55600014ddbd1,AWAITING REVIEW,2021-04-07 02:28:42.985000,2021-04-07 03:21:48.038000,3185.053,23,279,0,100,,4A526F60,United States,United States,DATA EXPIRED,DATA EXPIRED,United States,Male,DATA EXPIRED
606d18ed866863d34b6f3cdb,54af2a48fdf99b09c01b3801,AWAITING REVIEW,2021-04-07 02:29:03.742000,2021-04-07 03:18:05.211000,2941.469,25,905,8,98,,NOCODE,United States,United States,Unemployed (and job seeking),English,United States,Female,No
606d18efbf9fb31ac0c7ad61,5e8cfdc6ef455e0bb5293900,AWAITING REVIEW,2021-04-07 02:29:14.899000,2021-04-07 03:25:30.924000,3376.025,25,263,1,100,,4A526F60,United States,Mexico,Full-Time,Spanish,United States,Male,Yes
606d1910df42014a78a7536f,5f1273feb9ddf60dd2781b2f,RETURNED,2021-04-07 02:29:38.277000,,138000.642437,20,122,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
606d193608068e1b41a0e5c3,5f90e2ba0e7eef1fdbf5b17b,RETURNED,2021-04-07 02:30:16.638000,,137962.28152,18,457,2,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
606d1939fa45b40895cfe249,5c1942e200849900010afdcd,AWAITING REVIEW,2021-04-07 02:30:26.595000,2021-04-07 03:27:58.386000,3451.791,22,862,2,100,,4A526F60,United States,United States,Full-Time,English,United States,Male,Yes
606d1941e153e4f702493f3c,6031530adab92a07df585559,RETURNED,2021-04-07 02:30:28.527000,,137950.405444,24,113,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
606d1946dff74f30d649f51e,5deb05909f631c23193bbffd,AWAITING REVIEW,2021-04-07 02:30:33.028000,2021-04-07 03:19:04.157000,2911.129,23,358,3,99,,NOCODE,United States,United States,Full-Time,English,United States,Male,No
606d1957b08a37c0d54fe04d,5f2cc8cebc4bd01d61151550,AWAITING REVIEW,2021-04-07 02:30:49.450000,2021-04-07 03:14:52.836000,2643.386,18,511,2,100,,4A526F60,United States,United States,Unemployed (and job seeking),Vietnamese,United States,Female,Yes
606d1966c3df0eb05cb17c4d,601abc98d4fb232d2da05409,RETURNED,2021-04-07 02:31:03.623000,,137915.334772,20,157,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
606d199049437aa1364da9cf,5f63d462fb4c4713b69d4bb7,AWAITING REVIEW,2021-04-07 02:33:40.850000,2021-04-07 03:31:54.527000,3493.677,24,448,2,100,,4A526F60,United States,United States,Part-Time,DATA EXPIRED,United States,Male,No
606d19e7db2b332589b582dd,5f1611b74f568f177ca351c4,RETURNED,2021-04-07 02:37:48.096000,,137510.874833,18,465,3,99,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
606d19ef386e411c014103e4,6001d2a36c91490694873136,AWAITING REVIEW,2021-04-07 02:33:22.899000,2021-04-07 03:21:52.359000,2909.46,21,145,1,100,,4A526F60,United States,United States,Part-Time,,United States,Male,Yes
606d1a00effa751a5ae7c3da,5f59196cdfe283117d6e909e,AWAITING REVIEW,2021-04-07 02:33:36.232000,2021-04-07 03:23:28.746000,2992.514,21,380,0,100,,4A526F60,United States,United States,Other,DATA EXPIRED,United States,Female,Yes
606d1a08f2f1bf9c1dad65c7,5b0ca34130d562000155582e,AWAITING REVIEW,2021-04-07 02:37:16.039000,2021-04-07 03:40:12.007000,3775.968,23,857,6,99,,NOCODE,United States,United States,Unemployed (and job seeking),English,United States,Male,Yes
606d1a11548516e758276964,5f5d683018ad6816b6095e4f,AWAITING REVIEW,2021-04-07 02:33:55.689000,2021-04-07 03:31:07.734000,3432.045,24,162,0,100,,4A526F60,United States,Portugal,Unemployed (and job seeking),DATA EXPIRED,United States,Male,No
606d1a13bea691f9a65e3e30,60443486c529524b49786390,RETURNED,2021-04-07 02:33:59.191000,,137739.846683,22,109,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
