subid,gender,condition,error,trial
7,2,0,3,27
7,2,0,5,28
7,2,0,0,29
7,2,0,0,30
7,2,0,1,31
7,2,0,4,32
7,2,0,2,33
7,2,0,1,34
7,2,0,4,35
7,2,0,2,36
7,2,0,0,37
7,2,0,5,38
7,2,0,1,39
7,2,0,3,40
7,2,0,0,41
7,2,0,1,42
8,2,0,3,1
8,2,0,0,2
8,2,0,0,3
8,2,0,2,4
8,2,0,4,5
8,2,0,3,6
8,2,0,2,7
8,2,0,0,8
8,2,0,2,9
8,2,0,2,10
8,2,0,1,11
8,2,0,2,12
8,2,0,3,13
8,2,0,2,14
8,2,0,5,15
8,2,0,2,16
8,2,0,1,17
8,2,0,0,18
8,2,0,2,19
8,2,0,3,20
8,2,0,2,21
8,2,0,6,22
8,2,0,2,23
8,2,0,1,24
8,2,0,4,25
8,2,0,3,26
8,2,0,1,27
8,2,0,1,28
8,2,0,2,29
8,2,0,2,30
8,2,0,3,31
8,2,0,3,32
8,2,0,0,33
8,2,0,1,34
8,2,0,0,35
8,2,0,3,36
8,2,0,1,37
8,2,0,0,38
8,2,0,0,39
8,2,0,1,40
8,2,0,0,41
8,2,0,0,42
9,2,0,3,1
9,2,0,3,2
9,2,0,4,3
9,2,0,1,4
9,2,0,4,5
9,2,0,1,6
9,2,0,1,7
9,2,0,7,8
9,2,0,2,9
9,2,0,2,10
9,2,0,6,11
9,2,0,5,12
9,2,0,2,13
9,2,0,2,14
9,2,0,3,15
9,2,0,4,16
9,2,0,7,17
9,2,0,4,18
9,2,0,1,19
9,2,0,1,20
9,2,0,4,21
9,2,0,4,22
9,2,0,4,23
9,2,0,3,24
9,2,0,1,25
9,2,0,4,26
9,2,0,0,27
9,2,0,4,28
9,2,0,1,29
9,2,0,3,30
9,2,0,0,31
9,2,0,4,32
9,2,0,5,33
9,2,0,1,34
9,2,0,3,35
9,2,0,4,36
9,2,0,3,37
9,2,0,1,38
9,2,0,2,39
9,2,0,4,40
9,2,0,1,41
9,2,0,5,42
10,2,0,3,1
10,2,0,1,2
10,2,0,1,3
10,2,0,3,4
10,2,0,0,5
10,2,0,2,6
10,2,0,3,7
10,2,0,2,8
10,2,0,4,9
10,2,0,1,10
10,2,0,2,11
10,2,0,2,12
10,2,0,5,13
10,2,0,1,14
10,2,0,3,15
10,2,0,3,16
10,2,0,5,17
10,2,0,2,18
10,2,0,2,19
10,2,0,6,20
10,2,0,1,21
10,2,0,2,22
10,2,0,2,23
10,2,0,0,24
10,2,0,4,25
10,2,0,3,26
10,2,0,4,27
10,2,0,1,28
10,2,0,4,29
10,2,0,2,30
10,2,0,2,31
10,2,0,3,32
10,2,0,6,33
10,2,0,2,34
10,2,0,2,35
10,2,0,5,36
10,2,0,0,37
10,2,0,2,38
10,2,0,0,39
10,2,0,4,40
10,2,0,2,41
10,2,0,1,42
11,2,0,2,1
11,2,0,5,2
11,2,0,4,3
11,2,0,3,4
11,2,0,3,5
11,2,0,0,6
11,2,0,3,7
11,2,0,2,8
11,2,0,3,9
11,2,0,8,10
11,2,0,5,11
11,2,0,1,12
11,2,0,1,13
11,2,0,1,14
11,2,0,7,15
11,2,0,0,16
11,2,0,1,17
11,2,0,3,18
11,2,0,7,19
11,2,0,7,20
11,2,0,5,21
11,2,0,4,22
11,2,0,1,23
11,2,0,4,24
11,2,0,5,25
11,2,0,2,26
11,2,0,5,27
11,2,0,1,28
11,2,0,1,29
11,2,0,3,30
11,2,0,2,31
11,2,0,5,32
11,2,0,2,33
11,2,0,1,34
11,2,0,1,35
11,2,0,6,36
11,2,0,1,37
11,2,0,5,38
11,2,0,5,39
11,2,0,1,40
11,2,0,6,41
11,2,0,4,42
12,3,0,4,1
12,3,0,2,2
12,3,0,2,3
12,3,0,7,4
12,3,0,1,5
12,3,0,1,6
12,3,0,2,7
12,3,0,0,8
12,3,0,1,9
12,3,0,3,10
12,3,0,4,11
12,3,0,3,12
12,3,0,3,13
12,3,0,2,14
12,3,0,0,15
12,3,0,1,16
12,3,0,1,17
12,3,0,2,18
12,3,0,1,19
12,3,0,7,20
12,3,0,3,21
12,3,0,4,22
12,3,0,3,23
12,3,0,1,24
12,3,0,3,25
12,3,0,6,26
12,3,0,3,27
12,3,0,8,28
12,3,0,0,29
12,3,0,0,30
12,3,0,3,31
12,3,0,3,32
12,3,0,1,33
12,3,0,1,34
12,3,0,2,35
12,3,0,1,36
12,3,0,4,37
12,3,0,0,38
12,3,0,4,39
12,3,0,4,40
12,3,0,1,41
12,3,0,1,42
13,2,0,1,1
13,2,0,3,2
13,2,0,2,3
13,2,0,5,4
13,2,0,3,5
13,2,0,8,6
13,2,0,1,7
13,2,0,1,8
13,2,0,0,9
13,2,0,5,10
13,2,0,1,11
13,2,0,1,12
13,2,0,1,13
13,2,0,1,14
13,2,0,3,15
13,2,0,2,16
13,2,0,0,17
13,2,0,2,18
13,2,0,1,19
13,2,0,1,20
13,2,0,3,21
13,2,0,3,22
13,2,0,0,23
13,2,0,3,24
13,2,0,2,25
13,2,0,0,26
13,2,0,0,27
13,2,0,1,28
13,2,0,5,29
13,2,0,2,30
13,2,0,2,31
13,2,0,2,32
13,2,0,5,33
13,2,0,0,34
13,2,0,2,35
13,2,0,0,36
13,2,0,3,37
13,2,0,1,38
13,2,0,3,39
13,2,0,4,40
13,2,0,2,41
13,2,0,1,42
14,2,0,1,1
14,2,0,2,2
14,2,0,6,3
14,2,0,3,4
14,2,0,4,5
14,2,0,6,6
14,2,0,0,7
14,2,0,3,8
14,2,0,1,9
14,2,0,4,10
14,2,0,0,11
14,2,0,4,12
14,2,0,0,13
14,2,0,1,14
14,2,0,3,15
14,2,0,0,16
14,2,0,2,17
14,2,0,1,18
14,2,0,0,19
14,2,0,1,20
14,2,0,1,21
14,2,0,1,22
14,2,0,3,23
14,2,0,1,24
14,2,0,2,25
14,2,0,4,26
14,2,0,5,27
14,2,0,3,28
14,2,0,2,29
14,2,0,1,30
14,2,0,1,31
14,2,0,5,32
14,2,0,0,33
14,2,0,1,34
